movieId,imdbId,release_date,title,main_director,soup
135887,2293640,2015-06-17,Minions,Kyle Balda,assist aftercreditssting duringcreditssting evilmastermind minion 3d sandrabullock jonhamm michaelkeaton kylebalda kylebalda kylebalda
143355,451279,2017-05-30,Wonder Woman,Patty Jenkins,dccomic hero greekmytholog island worldwari superhero basedoncom superheroin perioddrama heroin superpow womandirector 1910s dcextendedunivers galgadot chrispine robinwright pattyjenkins pattyjenkins pattyjenkins
168366,2771200,2017-03-16,Beauty and the Beast,Bill Condon,franc magic castl fairytal music curs anthropomorph creatur heldcapt gothic 18thcenturi beast 3d emmawatson danstevens lukeevans billcondon billcondon billcondon
171763,3890160,2017-06-28,Baby Driver,Edgar Wright,robberi atlanta music crimeboss romanc tinnitus carchas car getawaydriv anselelgort lilyjames kevinspacey edgarwright edgarwright edgarwright
115617,2245084,2014-10-24,Big Hero 6,Chris Williams,brotherbrotherrelationship hero talent reveng bestfriend anotherdimens robot boygenius hate aftercreditssting moraldilemma 3d teensuperhero deadbroth scottadsit ryanpotter danielhenney chriswilliams chriswilliams chriswilliams
122904,1431045,2016-02-09,Deadpool,Tim Miller,antihero mercenari marvelcom superhero basedoncom breakingthefourthwal aftercreditssting duringcreditssting selfheal ryanreynolds morenabaccarin edskrein timmiller timmiller timmiller
122918,3896198,2017-04-19,Guardians of the Galaxy Vol. 2,James Gunn,sequel superhero basedoncom misfit space outerspac aftercreditssting duringcreditssting chrispratt zoesaldana davebautista jamesgunn jamesgunn jamesgunn
72998,499549,2009-12-10,Avatar,James Cameron,cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweaver jamescameron jamescameron jamescameron
115149,2911666,2014-10-22,John Wick,Chad Stahelski,hitman russianmafia reveng murder gangster dog retir widow keanureeves michaelnyqvist alfieallen chadstahelski chadstahelski chadstahelski
112556,2267998,2014-10-01,Gone Girl,David Fincher,basedonnovel marriagecrisi disappear cheatinghusband missingperson searchparti criminallawy wifemurd murdersuspect missingwif benaffleck rosamundpike carriecoon davidfincher davidfincher davidfincher
116823,1951265,2014-11-18,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,resist post-apocalypt dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudic humansubjug basedonyoungadultnovel jenniferlawrence joshhutcherson liamhemsworth francislawrence francislawrence francislawrence
173145,3450958,2017-07-11,War for the Planet of the Apes,Matt Reeves,basedonnovel sequel talkinganim ape andyserkis woodyharrelson stevezahn mattreeves mattreeves mattreeves
122920,3498820,2016-04-27,Captain America: Civil War,Anthony Russo,civilwar war marvelcom sequel superhero basedoncom imax aftercreditssting duringcreditssting marvelcinematicunivers 3d chrisevans robertdowneyjr. scarlettjohansson anthonyrusso anthonyrusso anthonyrusso
296,110912,1994-09-10,Pulp Fiction,Quentin Tarantino,transport brothel drugdeal boxer massag stolenmoney crimeboss dancecontest junkyard kamikaz ambiguousend briefcas redempt heirloom pulpfict referencetoalgreen theft brutal johntravolta samuell.jackson umathurman quentintarantino quentintarantino quentintarantino
122896,1790809,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,Joachim Rønning,sea ship sequel artifact treasuremap pirat perioddrama monkey swashbuckl ghost caribbean trident johnnydepp javierbardem geoffreyrush joachimrønning joachimrønning joachimrønning
58559,468569,2008-07-16,The Dark Knight,Christopher Nolan,dccomic crimefight secretident scarecrow sadism chao gothamc vigilant joker superhero basedoncom tragichero organizedcrim criminalmastermind districtattorney imax supervillain superpow batman christianbale michaelcaine heathledger christophernolan christophernolan christophernolan
541,83658,1982-06-25,Blade Runner,Ridley Scott,artificialintellig bountyhunt dystopia genet fugit cyberpunk losangel technoir neo-noir futurista lluvia harrisonford rutgerhauer seanyoung ridleyscott ridleyscott ridleyscott
89745,848228,2012-04-25,The Avengers,Joss Whedon,newyork shield marvelcom superhero basedoncom alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers robertdowneyjr. chrisevans markruffalo josswhedon josswhedon josswhedon
170939,2091256,2017-06-01,Captain Underpants: The First Epic Movie,David Soren,underwear school princip gradeschool kevinhart edhelms thomasmiddleditch davidsoren davidsoren davidsoren
143365,4287320,2017-04-27,The Circle,James Ponsoldt,technolog videosurveil compani crimin smartphon emmawatson tomhanks johnboyega jamesponsoldt jamesponsoldt jamesponsoldt
173139,4334266,2017-06-23,The Bad Batch,Ana Lily Amirpour,amput kidnap post-apocalypt dystopia exil drugus cannib cultlead sukiwaterhouse jasonmomoa jaydafink analilyamirpour analilyamirpour analilyamirpour
114180,1790864,2014-09-10,The Maze Runner,Wes Ball,basedonnovel maze post-apocalypt dystopia escap memoryloss erasedmemori trap dystopicfutur runner basedonyoungadultnovel dylano'brien kihonglee kayascodelario wesball wesball wesball
112623,2103281,2014-06-26,Dawn of the Planet of the Apes,Matt Reeves,leader coloni post-apocalypt dystopia forest sequel wood ape scientist monkey medicalresearch animalattack plagu 3d andyserkis jasonclarke garyoldman mattreeves mattreeves mattreeves
169984,2316204,2017-05-09,Alien: Covenant,Ridley Scott,android spacetravel alienlife-form infect egg engin sequel spaceship space alien gore outerspac robot scientist genocid creation biologicalexperi acid xenomorph alientechnolog geneticmut michaelfassbender katherinewaterston billycrudup ridleyscott ridleyscott ridleyscott
168612,1219827,2017-03-29,Ghost in the Shell,Rupert Sanders,philosophi cyborg hacker strongwoman investig suspens femaleprotagonist cyberpunk terror evolut dystopicfutur network 3d basedonanim innerjourney prosthesi scarlettjohansson michaelpitt pilouasbæk rupertsanders rupertsanders rupertsanders
170973,3344680,2016-08-01,Boyka: Undisputed IV,Todor Chapkanov,prison wife sport fight accidentaldeath scottadkins teodoraduhovnikova alonaboutboul todorchapkanov todorchapkanov todorchapkanov
112552,2582802,2014-10-10,Whiplash,Damien Chazelle,jazz obsess conservatori musicteach newyorkc violenc montag drummer publichumili jazzband youngadult musicschool milesteller j.k.simmons melissabenoist damienchazelle damienchazelle damienchazelle
2959,137523,1999-10-15,Fight Club,David Fincher,supportgroup dualident nihil rageandh insomnia dystopia violenc edwardnorton bradpitt meatloaf davidfincher davidfincher davidfincher
173925,1536537,2017-08-18,What Happened to Monday,Tommy Wirkola,chase falseident overpopul investig betray conspiraci execut dystopicfutur populationcontrol septuplet noomirapace marwankenzari christianrubeck tommywirkola tommywirkola tommywirkola
175649,5322012,2017-07-07,Wish Upon,John R. Leonetti,magic wishfulfil joeyking ryanphillippe sherilynfenn johnr.leonetti johnr.leonetti johnr.leonetti
122916,3501632,2017-10-25,Thor: Ragnarok,Taika Waititi,marvelcom sequel superhero basedoncom femalevillain norsemytholog marvelcinematicunivers norsegod chrishemsworth tomhiddleston cateblanchett taikawaititi taikawaititi taikawaititi
168252,3315342,2017-02-28,Logan,James Mangold,cyborg experi self-destruct mutant futur dystopia immort marvelcom sequel superhero basedoncom scientificexperi superpow neo-western troubledpast lifeonthemargin hughjackman patrickstewart dafnekeen jamesmangold jamesmangold jamesmangold
112852,2015381,2014-07-30,Guardians of the Galaxy,James Gunn,marvelcom spaceship space outerspac orphan adventur aftercreditssting duringcreditssting marvelcinematicunivers chrispratt zoesaldana davebautista jamesgunn jamesgunn jamesgunn
161650,2932536,2017-06-15,47 Meters Down,Johannes Roberts,dive sistersisterrelationship sharkattack cage shark trappedunderwater  claireholt mandymoore chrisjohnson johannesroberts johannesroberts johannesroberts
318,111161,1994-09-23,The Shawshank Redemption,Frank Darabont,prison corrupt policebrut prisoncel delinqu paroleboard escapefromprison wrongfulimprison framedformurd 1940s timrobbins morganfreeman bobgunton frankdarabont frankdarabont frankdarabont
161078,4738360,2016-02-12,The Last King,Nils Gaup,civilwar norway kingdom vike snow vike kristoferhivju jakoboftebro pålsverrehagen nilsgaup nilsgaup nilsgaup
175197,1648190,2017-08-03,The Dark Tower,Nikolaj Arcel,gunsling basedonnovel idriselba matthewmcconaughey tomtaylor nikolajarcel nikolajarcel nikolajarcel
168248,4425200,2017-02-08,John Wick: Chapter 2,Chad Stahelski,itali gun roof parti sequel handshak keanureeves common laurencefishburne chadstahelski chadstahelski chadstahelski
170875,4630562,2017-04-12,The Fate of the Furious,F. Gary Gray,submarin sequel betray fastcar rescuemiss newyorkc criminalmastermind mysteriouswoman 3d vindiesel jasonstatham dwaynejohnson f.garygray f.garygray f.garygray
356,109830,1994-07-06,Forrest Gump,Robert Zemeckis,vietnamveteran hippi mentallydis run basedonnovel vietnam vietnamwar friendship love familyrelationship bulli mothersonrelationship militari hug shrimp woundedsoldi flashback parkbench ampute tomhanks robinwright garysinise robertzemeckis robertzemeckis robertzemeckis
6539,325980,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,exoticisland blacksmith eastindiatradingcompani gold marriagepropos mutini jamaica skeleton daughter governor woodeney goldcoin pirat alcohol swashbuckl caribbean aftercreditssting pirateship capuchinmonkey tortuga johnnydepp geoffreyrush orlandobloom goreverbinski goreverbinski goreverbinski
175243,3501112,2017-03-04,Security,Alain Desrochers,antoniobanderas benkingsley liammcintyre alaindesrochers alaindesrochers alaindesrochers
